[17:54:42] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:54:44] [ServerMain/INFO]: Loaded 7 recipes
[17:54:44] [ServerMain/INFO]: Loaded 1271 advancements
[17:54:45] [Server thread/INFO]: Starting minecraft server version 1.20.1
[17:54:45] [Server thread/INFO]: Loading properties
[17:54:45] [Server thread/INFO]: Default game type: SURVIVAL
[17:54:45] [Server thread/INFO]: Generating keypair
[17:54:45] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:54:45] [Server thread/INFO]: Using epoll channel type
[17:54:45] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:54:45] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:54:45] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:54:45] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:54:45] [Server thread/INFO]: Preparing level "world"
[17:54:52] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:54:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:54:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:54:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:54:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:54:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:54:55] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[17:54:55] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[17:54:56] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[17:54:56] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[17:54:57] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[17:54:57] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[17:54:58] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[17:54:58] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[17:54:59] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[17:54:59] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[17:55:00] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[17:55:00] [Worker-Main-3/INFO]: Preparing spawn area: 19%
[17:55:01] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[17:55:01] [Worker-Main-3/INFO]: Preparing spawn area: 23%
[17:55:02] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[17:55:02] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[17:55:03] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[17:55:03] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[17:55:04] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[17:55:04] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[17:55:05] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[17:55:05] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[17:55:06] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[17:55:06] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[17:55:07] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[17:55:07] [Worker-Main-1/INFO]: Preparing spawn area: 58%
[17:55:08] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[17:55:08] [Worker-Main-3/INFO]: Preparing spawn area: 65%
[17:55:09] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[17:55:09] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[17:55:10] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[17:55:10] [Worker-Main-3/INFO]: Preparing spawn area: 78%
[17:55:11] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[17:55:11] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[17:55:12] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[17:55:12] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[17:55:13] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[17:55:13] [Worker-Main-3/INFO]: Preparing spawn area: 98%
[17:55:13] [Server thread/INFO]: Time elapsed: 21189 ms
[17:55:13] [Server thread/INFO]: Done (27.767s)! For help, type "help"
